,full_id,osm_id,Y,X,status,power,fast_charging,cost,brand,level,geometry
0,n757889531,757889531,7065272.64068186,1619819.26137015,unavailable,120,True,0.41,Begum Energy,Level 1,POINT (7065272.64068186 1619819.26137015)
1,n1272891734,1272891734,6843461.54621781,2341171.04225979,unavailable,120,True,0.4,Tosuns Energy,Level 1,POINT (6843461.54621781 2341171.04225979)
2,n1272891737,1272891737,6843466.07266806,2341167.62475142,unavailable,120,False,0.69,S4M3T Energy,Level 1,POINT (6843466.07266806 2341167.62475142)
3,n1375294622,1375294622,6834627.22873543,2342683.72942433,available,223,False,0.28,S4M3T Energy,Level 2,POINT (6834627.22873543 2342683.72942433)
4,n1692272423,1692272423,6848311.63068077,2346882.90099214,available,221,False,0.67,Begum Energy,Level 2,POINT (6848311.63068077 2346882.90099214)
5,n1943958019,1943958019,7241193.21377832,2073428.46428981,available,480,True,0.23,Begum Energy,Level 3,POINT (7241193.21377832 2073428.46428981)
6,n2398388304,2398388304,6760399.19911691,2164582.51838147,unavailable,120,True,0.25,Begum Energy,Level 1,POINT (6760399.19911691 2164582.51838147)
7,n2398408245,2398408245,6766137.19728468,2145907.80550887,unavailable,210,False,0.41,Begum Energy,Level 2,POINT (6766137.19728468 2145907.80550887)
8,n3064453548,3064453548,6846859.1888854,2335931.13364061,available,480,False,0.23,Begum Energy,Level 3,POINT (6846859.1888854 2335931.13364061)
9,n4096920077,4096920077,6833723.83337988,2336353.41299699,unavailable,480,False,0.29,S4M3T Energy,Level 3,POINT (6833723.83337988 2336353.41299699)
10,n4151468935,4151468935,6627904.83053055,1846146.25768668,available,120,False,0.35,S4M3T Energy,Level 1,POINT (6627904.83053055 1846146.25768668)
11,n4287147189,4287147189,6639217.42284786,1895542.26684341,available,480,True,0.37,S4M3T Energy,Level 3,POINT (6639217.42284786 1895542.26684341)
12,n4315664231,4315664231,6834717.58654237,2335733.26324572,unavailable,120,True,0.62,Eticanium Energy,Level 1,POINT (6834717.58654237 2335733.26324572)
